k,MAP,NDCG,P,Recall
1,0.00313,0.26,0.26,0.00313
3,0.00651,0.23754,0.23333,0.00764
5,0.00974,0.23208,0.228,0.01227
10,0.01744,0.22773,0.224,0.02412
100,0.06248,0.17944,0.1356,0.13726
1000,0.09437,0.28195,0.04016,0.37327
